Rank_Number,Protein_Name,x_OfSpectra_20191003_Yeast_QEHFx_200ng_450nl_80min_01_191004,x_OfSpectra_20191003_Yeast_QEHFx_200ng_450nl_80min_04_191004,x_OfSpectra_20191004_Yeast_QEHFx_200ng_450nl_80min_01_191004,Max_x_OfSpectra,Sum_x_OfSpectra,x_AA_sInProtein,Contaminant
1063,>sp|P40018|RSMB_YEAST Small nuclear ribonucleoprotein-associated protein B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SMB1 PE=1 SV=1,2,3,4,4,9,2,0
1064,>sp|P40019|CHZ1_YEAST Histone H2A.Z-specific chaperone CHZ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CHZ1 PE=1 SV=2,3,3,3,3,9,3,0
1065,>sp|P40022|YEM4_YEAST Uncharacterized protein YER034W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YER034W PE=1 SV=1,-Inf,-Inf,2,2,2,-Inf,0
1066,>sp|P40024|ARB1_YEAST ABC transporter ATP-binding protein ARB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARB1 PE=1 SV=1,20,17,17,20,54,20,0
1067,>sp|P40029|MSRA_YEAST Peptide methionine sulfoxide reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MXR1 PE=1 SV=1,6,6,6,6,18,6,0
1068,>sp|P40030|ERG28_YEAST Ergosterol biosynthetic protein 28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG28 PE=1 SV=1,2,4,3,4,9,2,0
1069,>sp|P40032|TPA1_YEAST Prolyl 3-4-dihydroxylase TPA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPA1 PE=1 SV=1,7,4,10,10,21,7,0
1070,>sp|P40035|PIC2_YEAST Mitochondrial phosphate carrier protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PIC2 PE=1 SV=1,-Inf,2,-Inf,2,2,-Inf,0
1071,>sp|P40037|HMF1_YEAST Protein HMF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HMF1 PE=1 SV=1,4,5,13,13,22,4,0
1072,>sp|P40038|PCL6_YEAST PHO85 cyclin-6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PCL6 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1073,>sp|P40040|THO1_YEAST Protein THO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=THO1 PE=1 SV=1,3,2,3,3,8,3,0
1074,>sp|P40043|RGI1_YEAST Respiratory growth induced protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RGI1 PE=1 SV=1,2,1,2,2,5,2,0
1075,>sp|P40045|TDA2_YEAST Topoisomerase I damage affected protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDA2 PE=1 SV=1,-Inf,1,1,1,2,-Inf,0
1076,>sp|P40046|VTC1_YEAST Vacuolar transporter chaperone 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VTC1 PE=1 SV=3,4,5,4,5,13,4,0
1077,>sp|P40047|ALDH5_YEAST Aldehyde dehydrogenase 5- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ALD5 PE=1 SV=4,2,3,3,3,8,2,0
1078,>sp|P40052|YEQ9_YEAST Uncharacterized protein YER079W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YER079W PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1079,>sp|P40053|AIM9_YEAST Altered inheritance of mitochondria protein 9- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AIM9 PE=1 SV=1,3,5,11,11,19,3,0
1080,>sp|P40054|SERA_YEAST D-3-phosphoglycerate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SER3 PE=1 SV=1,12,11,18,18,41,12,0
1081,>sp|P40056|GET2_YEAST Golgi to ER traffic protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GET2 PE=1 SV=2,3,2,6,6,11,3,0
1082,>sp|P40064|NU157_YEAST Nucleoporin NUP157 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP157 PE=1 SV=1,-Inf,-Inf,3,3,3,-Inf,0
1083,>sp|P40066|GLE2_YEAST Nucleoporin GLE2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GLE2 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1084,>sp|P40069|IMB4_YEAST Importin subunit beta-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KAP123 PE=1 SV=1,17,19,37,37,73,17,0
1085,>sp|P40070|LSM4_YEAST U6 snRNA-associated Sm-like protein LSm4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LSM4 PE=1 SV=1,4,3,4,4,11,4,0
1086,>sp|P40075|SCS2_YEAST Vesicle-associated membrane protein-associated protein SCS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SCS2 PE=1 SV=3,13,13,15,15,41,13,0
1087,>sp|P40079|LCP5_YEAST U3 small nucleolar ribonucleoprotein protein LCP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LCP5 PE=1 SV=1,2,-Inf,4,4,6,2,0
1088,>sp|P40081|MGDP1_YEAST Putative magnesium-dependent phosphatase YER134C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YER134C PE=1 SV=1,4,1,5,5,10,4,0
1089,>sp|P40087|DDI1_YEAST DNA damage-inducible protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DDI1 PE=1 SV=1,4,-Inf,4,4,8,4,0
1090,>sp|P40089|LSM5_YEAST U6 snRNA-associated Sm-like protein LSm5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LSM5 PE=1 SV=1,1,1,1,1,3,1,0
1091,>sp|P40093|YEY6_YEAST UPF0160 protein YER156C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YER156C PE=1 SV=1,5,6,8,8,19,5,0
1092,>sp|P40096|NCB1_YEAST Negative cofactor 2 complex subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BUR6 PE=1 SV=1,1,3,1,3,5,1,0
1093,>sp|P40098|FMP10_YEAST Uncharacterized mitochondrial membrane protein FMP10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FMP10 PE=1 SV=1,3,4,3,4,10,3,0
1094,>sp|P40106|GPP2_YEAST Glycerol-1-phosphate phosphohydrolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPP2 PE=1 SV=1,5,5,8,8,18,5,0
1095,>sp|P40150|SSB2_YEAST Ribosome-associated molecular chaperone SSB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSB2 PE=1 SV=2,3,76,106,106,185,3,0
1096,>sp|P40157|VID27_YEAST Vacuolar import and degradation protein 27 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VID27 PE=1 SV=1,3,3,4,4,10,3,0
1097,>sp|P40159|YNU8_YEAST Uncharacterized protein YNL208W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YNL208W PE=1 SV=2,5,3,13,13,21,5,0
1098,>sp|P40161|RT106_YEAST Histone chaperone RTT106 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RTT106 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1099,>sp|P40165|NNRE_YEAST NAD(P)H-hydrate epimerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YNL200C PE=1 SV=1,-Inf,2,4,4,6,-Inf,0
1100,>sp|P40168|YNT5_YEAST Uncharacterized protein YNL195C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YNL195C PE=4 SV=2,-Inf,1,-Inf,1,1,-Inf,0
1101,>sp|P40169|YNT4_YEAST Uncharacterized plasma membrane protein YNL194C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YNL194C PE=1 SV=1,-Inf,2,-Inf,2,2,-Inf,0
1102,>sp|P40185|MMF1_YEAST Protein MMF1- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MMF1 PE=1 SV=1,19,18,28,28,65,19,0
1103,>sp|P40188|RGI2_YEAST Respiratory growth induced protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RGI2 PE=1 SV=1,-Inf,-Inf,4,4,4,-Inf,0
1104,>sp|P40202|CCS1_YEAST Superoxide dismutase 1 copper chaperone OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCS1 PE=1 SV=1,7,3,13,13,23,7,0
1105,>sp|Q12690|RL13A_YEAST 60S ribosomal protein L13-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL13A PE=1 SV=1,37,30,35,37,102,37,0
1105,>sp|P40212|RL13B_YEAST 60S ribosomal protein L13-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL13B PE=1 SV=1,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0
1106,>sp|P40215|NDH1_YEAST External NADH-ubiquinone oxidoreductase 1- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NDE1 PE=1 SV=1,4,8,12,12,24,4,0
1107,>sp|P40217|EIF3I_YEAST Eukaryotic translation initiation factor 3 subunit I OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIF34 PE=1 SV=1,9,7,10,10,26,9,0
1108,>sp|P40302|PSA6_YEAST Proteasome subunit alpha type-6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRE5 PE=1 SV=1,12,10,14,14,36,12,0
1109,>sp|P40303|PSA4_YEAST Proteasome subunit alpha type-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRE6 PE=1 SV=1,1,3,8,8,12,1,0
1110,>sp|P40318|DOA10_YEAST ERAD-associated E3 ubiquitin-protein ligase DOA10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSM4 PE=1 SV=1,-Inf,-Inf,2,2,2,-Inf,0
1111,>sp|P40319|ELO3_YEAST Elongation of fatty acids protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ELO3 PE=1 SV=1,2,-Inf,3,3,5,2,0
1112,>sp|P40327|PRS4_YEAST 26S proteasome regulatory subunit 4 homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPT2 PE=1 SV=3,5,6,9,9,20,5,0
1113,>sp|P40335|PEP8_YEAST Carboxypeptidase Y-deficient protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PEP8 PE=1 SV=2,-Inf,-Inf,1,1,1,-Inf,0
1114,>sp|P40339|RFC4_YEAST Replication factor C subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RFC4 PE=1 SV=1,2,-Inf,1,2,3,2,0
1115,>sp|P40340|TBP7_YEAST Tat-binding homolog 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YTA7 PE=1 SV=2,-Inf,-Inf,2,2,2,-Inf,0
1116,>sp|P40343|VPS27_YEAST Vacuolar protein sorting-associated protein 27 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VPS27 PE=1 SV=3,1,-Inf,3,3,4,1,0
1117,>sp|P40345|PDAT_YEAST Phospholipid:diacylglycerol acyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LRO1 PE=1 SV=1,1,-Inf,2,2,3,1,0
1118,>sp|P40347|PPAL_YEAST Low molecular weight phosphotyrosine protein phosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LTP1 PE=1 SV=1,1,-Inf,2,2,3,1,0
1119,>sp|P40348|RFC2_YEAST Replication factor C subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RFC2 PE=1 SV=1,1,3,4,4,8,1,0
1120,>sp|P40354|NTA1_YEAST Protein N-terminal amidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NTA1 PE=1 SV=1,-Inf,2,-Inf,2,2,-Inf,0
1121,>sp|P40357|SEC9_YEAST Protein transport protein SEC9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC9 PE=1 SV=1,1,2,-Inf,2,3,1,0
1122,>sp|P40363|SFGH_YEAST S-formylglutathione hydrolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJL068C PE=1 SV=1,4,4,5,5,13,4,0
1123,>sp|P40364|MPM1_YEAST Mitochondrial peculiar membrane protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MPM1 PE=1 SV=1,1,2,3,3,6,1,0
1124,>sp|P40368|NUP82_YEAST Nucleoporin NUP82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP82 PE=1 SV=2,2,1,2,2,5,2,0
1125,>sp|P40413|TCPE_YEAST T-complex protein 1 subunit epsilon OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCT5 PE=1 SV=3,16,19,22,22,57,16,0
1126,>sp|P40414|TPM2_YEAST Tropomyosin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPM2 PE=1 SV=1,7,13,8,13,28,7,0
1127,>sp|P40422|RPAB4_YEAST DNA-directed RNA polymerases I- II- and III subunit RPABC4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPC10 PE=1 SV=1,1,1,4,4,6,1,0
1128,>sp|P40452|COA1_YEAST Cytochrome c oxidase assembly factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COA1 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1129,>sp|P40454|PTPA1_YEAST Serine/threonine-protein phosphatase 2A activator 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RRD1 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1130,>sp|P40459|PANC_YEAST Pantoate--beta-alanine ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PAN6 PE=1 SV=2,4,4,-Inf,4,8,4,0
1131,>sp|P40462|TM108_YEAST Protein TMA108 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TMA108 PE=1 SV=1,6,7,6,7,19,6,0
1132,>sp|P40468|TAO3_YEAST Cell morphogenesis protein PAG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TAO3 PE=1 SV=1,5,10,5,10,20,5,0
1133,>sp|P40471|AYR1_YEAST NADPH-dependent 1-acyldihydroxyacetone phosphate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AYR1 PE=1 SV=1,10,4,8,10,22,10,0
1134,>sp|P40477|NU159_YEAST Nucleoporin NUP159 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP159 PE=1 SV=1,3,-Inf,4,4,7,3,0
1135,>sp|P40482|SEC24_YEAST Protein transport protein SEC24 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC24 PE=1 SV=1,13,11,26,26,50,13,0
1136,>sp|P40483|YIK8_YEAST Putative zinc metalloproteinase YIL108W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YIL108W PE=1 SV=1,2,2,10,10,14,2,0
1137,>sp|P40485|SLM1_YEAST Phosphatidylinositol 4-5-bisphosphate-binding protein SLM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SLM1 PE=1 SV=1,2,1,2,2,5,2,0
1138,>sp|P40495|LYS12_YEAST Homoisocitrate dehydrogenase- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LYS12 PE=1 SV=1,11,8,13,13,32,11,0
1139,>sp|P40501|AVT7_YEAST Vacuolar amino acid transporter 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AVT7 PE=1 SV=1,1,-Inf,-Inf,1,1,1,0
1140,>sp|P40506|PPCS_YEAST Phosphopantothenate--cysteine ligase CAB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CAB2 PE=1 SV=2,-Inf,-Inf,2,2,2,-Inf,0
1141,>sp|P40509|COPE_YEAST Coatomer subunit epsilon OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC28 PE=1 SV=2,1,1,4,4,6,1,0
1142,>sp|P40510|SER33_YEAST D-3-phosphoglycerate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SER33 PE=1 SV=1,3,2,6,6,11,3,0
1143,>sp|P40513|MAM33_YEAST Mitochondrial acidic protein MAM33 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MAM33 PE=1 SV=1,6,9,10,10,25,6,0
1144,>sp|P40515|FIS1_YEAST Mitochondrial fission 1 protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FIS1 PE=1 SV=1,-Inf,-Inf,2,2,2,-Inf,0
1145,>sp|P40517|YRB2_YEAST Ran-specific GTPase-activating protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YRB2 PE=1 SV=1,1,-Inf,3,3,4,1,0
1146,>sp|P40518|ARPC5_YEAST Actin-related protein 2/3 complex subunit 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARC15 PE=1 SV=1,4,5,9,9,18,4,0
1147,>sp|P40525|RL34B_YEAST 60S ribosomal protein L34-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL34B PE=1 SV=1,11,8,7,11,26,11,0
1147,>sp|P87262|RL34A_YEAST 60S ribosomal protein L34-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL34A PE=1 SV=1,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0
1148,>sp|P40529|AGE2_YEAST ADP-ribosylation factor GTPase-activating protein effector protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AGE2 PE=1 SV=1,-Inf,1,1,1,2,-Inf,0
1149,>sp|P40531|GVP36_YEAST Protein GVP36 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GVP36 PE=1 SV=1,16,13,19,19,48,16,0
1150,>sp|P40533|TED1_YEAST Protein TED1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TED1 PE=1 SV=1,3,3,7,7,13,3,0
1151,>sp|P40535|ACA2_YEAST ATF/CREB activator 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CST6 PE=1 SV=1,-Inf,3,-Inf,3,3,-Inf,0
1152,>sp|P40540|EMC5_YEAST ER membrane protein complex subunit 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EMC5 PE=1 SV=1,4,3,3,4,10,4,0
1153,>sp|P40545|HIS4_YEAST 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HIS6 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1154,>sp|P40550|PDR11_YEAST ATP-dependent permease PDR11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDR11 PE=1 SV=3,-Inf,-Inf,1,1,1,-Inf,0
1155,>sp|P40553|DOT5_YEAST Peroxiredoxin DOT5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DOT5 PE=1 SV=1,8,3,6,8,17,8,0
1156,>sp|P40554|URM1_YEAST Ubiquitin-related modifier 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URM1 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1157,>sp|P40557|EPS1_YEAST ER-retained PMA1-suppressing protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EPS1 PE=1 SV=1,-Inf,-Inf,7,7,7,-Inf,0
1158,>sp|P40561|SGN1_YEAST RNA-binding protein SGN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SGN1 PE=1 SV=1,-Inf,2,1,2,3,-Inf,0
1159,>sp|P40563|AIM21_YEAST Altered inheritance of mitochondria protein 21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AIM21 PE=1 SV=1,4,1,5,5,10,4,0
1160,>sp|P40564|DJP1_YEAST DnaJ-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DJP1 PE=1 SV=1,-Inf,-Inf,2,2,2,-Inf,0
1161,>sp|P40579|YIV5_YEAST Uncharacterized oxidoreductase YIR035C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YIR035C PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1162,>sp|P40580|BZRD_YEAST Benzil reductase ((S)-benzoin forming) IRC24 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IRC24 PE=1 SV=1,7,7,6,7,20,7,0
1163,>sp|P40581|GPX3_YEAST Glutathione peroxidase-like peroxiredoxin HYR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HYR1 PE=1 SV=1,5,5,10,10,20,5,0
1164,>sp|P40582|GST1_YEAST Glutathione S-transferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GTT1 PE=1 SV=1,7,7,6,7,20,7,0
1165,>sp|P40693|RLP7_YEAST Ribosome biogenesis protein RLP7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RLP7 PE=1 SV=1,5,4,1,5,10,5,0
1166,>sp|P40825|SYA_YEAST Alanine--tRNA ligase- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ALA1 PE=1 SV=3,36,33,38,38,107,36,0
1167,>sp|P40857|HACD_YEAST Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase PHS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PHS1 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1168,>sp|P40893|REE1_YEAST Regulation of enolase protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=REE1 PE=1 SV=1,7,4,11,11,22,7,0
1169,>sp|P40956|GTS1_YEAST Protein GTS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GTS1 PE=1 SV=2,2,3,6,6,11,2,0
1170,>sp|P40958|MAD2_YEAST Mitotic spindle checkpoint component MAD2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MAD2 PE=1 SV=1,2,-Inf,1,2,3,2,0
1171,>sp|P40961|PHB1_YEAST Prohibitin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PHB1 PE=1 SV=2,2,5,4,5,11,2,0
1172,>sp|P40970|LCB2_YEAST Serine palmitoyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LCB2 PE=1 SV=1,2,-Inf,5,5,7,2,0
1173,>sp|P40986|CDC1_YEAST Cell division control protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC1 PE=1 SV=2,-Inf,1,2,2,3,-Inf,0
1174,>sp|P40989|FKS2_YEAST 1-3-beta-glucan synthase component GSC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GSC2 PE=1 SV=2,2,2,3,3,7,2,0
1175,>sp|P40991|NOP2_YEAST 25S rRNA (cytosine(2870)-C(5))-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NOP2 PE=1 SV=1,5,8,6,8,19,5,0
1176,>sp|P41056|RL33B_YEAST 60S ribosomal protein L33-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL33B PE=1 SV=2,2,1,3,3,6,2,0
1177,>sp|P41057|RS29A_YEAST 40S ribosomal protein S29-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS29A PE=1 SV=3,6,10,19,19,35,6,0
1178,>sp|P41058|RS29B_YEAST 40S ribosomal protein S29-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS29B PE=1 SV=3,10,4,6,10,20,10,0
1179,>sp|P41277|GPP1_YEAST Glycerol-1-phosphate phosphohydrolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPP1 PE=1 SV=3,58,55,72,72,185,58,0
1180,>sp|P41338|THIL_YEAST Acetyl-CoA acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG10 PE=1 SV=3,19,16,25,25,60,19,0
1181,>sp|P41543|OST1_YEAST Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OST1 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
1182,>sp|P41734|IAH1_YEAST Isoamyl acetate-hydrolyzing esterase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IAH1 PE=1 SV=1,2,1,1,2,4,2,0
1183,>sp|P41805|RL10_YEAST 60S ribosomal protein L10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL10 PE=1 SV=1,38,39,48,48,125,38,0
1184,>sp|P41807|VATH_YEAST V-type proton ATPase subunit H OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA13 PE=1 SV=1,25,22,30,30,77,25,0
1185,>sp|P41810|COPB_YEAST Coatomer subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC26 PE=1 SV=2,15,17,20,20,52,15,0
